Sõna,Sõnaliik,Muuttüüp
sakiline,A,12
sakitama,V,27
sakkima,V,28
sakk,S,22
sakmeline,A,12
sako,S,16
sakraalne,A,2
sakramentaalne,A,2
sakrament,S,22
sakri,D,-
sakri minema,V,36
sakris,D,-
sakris olema,V,36
sakruma,V,27
saksaelu,S,17
saksa,G,-
saksalik,A,25
saksamaa,G,-
Saksamaa,H,26
saksamaiguline,A,12
saksandama,V,27
saksapärane,A,10
saksapärasus,S,11
saksastama,V,27
saksastuma,V,27
saksastus,S,11
saksauul,S,22
saksavaenulikkus,"S,S","11,9"
saksavärk,S,22
Saksi-Anhalt,H,22
saksi,G,-
saksik,A,2
saksikult,D,-
saksikus,S,11
saksimaa,G,-
Saksimaa,H,26
sakslane,"S,S","12,10"
sakslanna,S,16
sakslikult,D,-
sakslus,"S,S","11,9"
saksofonimängija,S,1
saksofonist,S,22
saksofon,S,19
saks,"S,S","23,22"
saks,S,22
saku,G,-
sakumm,S,22
sakura,S,16
Saku,H,16
sakuska,S,16
sakusment,S,22
sakutama,V,27
sakutus,S,11
sakvuajaaž,S,22
salaagent,S,22
salaami,S,16
Salaam,H,22
salaasi,S,24
sala,D,-
saladuselinik,S,2
saladuseloor,S,22
saladuskate,S,6
saladuslikkus,"S,S","11,9"
saladuslik,A,25
saladuslikult,D,-
saladus,S,11
salafi,S,16
salafism,S,22
salafist,S,22
salahilju,D,-
salahiljukesti,D,-
salainfo,S,16
salaja,D,-
salajane,A,12
salajas,D,-
salajaseks,D,-
salajaseks tegema,V,28
salajas hoidma,V,34
salajas pidama,V,28
salajutt,S,22
salakaebus,"S,S","11,9"
salakaubavedaja,S,1
salakaubavedu,S,18
salakaup,S,22
salakaval,A,2
salakesi,D,-
salakiri,S,24
salakirjana kirjutama,V,27
salakirjas,A,-
salakirjateadus,"S,S","11,9"
salakombel,D,-
salakomme,S,6
salakraavitus,S,11
salakraav,S,22
salakuulaja,S,1
salakuulama,V,29
salakuulamine,S,12
salakäik,S,22
salaküttima,V,28
salakütus,S,9
salalik,A,25
salaluure,S,6
salamahti,D,-
salamander,S,2
salameeli,D,-
salamisi,D,-
Salam,H,22
salamõnulema,V,27
salamõrvama,V,29
salamõte,S,6
salapaik,S,22
salapolitseinik,S,25
salapolitsei,S,26
salapärane,A,10
salapära,S,17
salapäraselt,D,-
salapäratseja,S,1
salapäratsema,V,27
salarelv,S,22
sala,S,17
salasepitseja,S,1
salasepitsema,V,27
salasepitsus,S,11
salasoov,S,22
salasopp,S,22
salastama,V,27
salastamine,S,12
salastatud,A,2
salasund,S,22
salasõna,S,17
salateenistus,S,11
salatikast,S,22
salatine,A,12
salatroheline,A,12
salat,S,2
salatseja,S,1
salatsema,V,27
salatsus,S,11
salatubakas,S,2
salatuisk,S,22
salaviinandus,S,11
salaviin,S,22
salaühing,S,2
saldejumps,S,22
saldejums,S,22
saldo,S,16
saledapihaline,A,12
saleduskuuri tegema,V,28
saleduskuur,S,22
saledus,S,11
salendama,V,27
salenema,V,27
salepihtne,A,2
sale,A,2
salgakaupa,D,-
salgakesi,D,-
salgama,V,29
salgamata,A,-
salgamatu,A,1
salgamatus,"S,S","11,9"
salgaviisi,D,-
salgutama,V,27
salguti,D,-
salgutine,A,12
salkkond,S,22
salklane,"S,S","12,10"
salk,S,22
salk,S,22
salku,D,-
salku minema,V,36
salkus,D,-
sallima,V,28
sallimatu,A,1
sallimatus,"S,S","11,9"
sallitavus,"S,S","11,9"
salliv,A,2
sallivus,S,11
Sallo,H,16
sall,S,22
Salme,H,16
salmiaak,S,22
salmialbum,S,2
salmik,S,2
salmima,V,28
salmimeister,S,2
salmisepp,S,22
salmistama,V,27
salmitegija,S,1
salmonelloos,S,22
salm,S,22
salongimuusika,S,1
salongiõhtu,S,1
salong,S,22
salooga,S,16
salpeeter,S,2
salpeetrine,"A,A","12,10"
salsa,S,16
salsatama,V,27
Salzburg,H,22
saltomortaale,S,16
salto,S,16
saltotama,V,27
saltser,S,2
salumets,S,22
salu,S,17
saluteerima,V,28
saluut,S,22
Salvador,H,19
salvama,V,29
salvamisi,D,-
salvates,D,-
salvavalt,D,-
salvav,A,2
salvei,S,26
salvestama,V,27
salvestamine,S,12
salvesti,S,1
salvestis,S,11
salvestuma,V,27
salvestus,S,11
salvima,V,28
salvine,A,10
salvitama,V,27
salvitud,A,2
Salvo,H,16
salvrätik,S,2
salvrätt,S,22
salv,S,22
salv,S,22
salvur,S,2
samaaegne,A,2
samaaegselt,D,-
samaaegu,D,-
Samaara,H,16
samaarialane,S,12
samaarialanna,S,16
samaaria,S,1
samaarlane,"S,S","12,10"
samagonn,S,22
samahästi,D,-
samakas,S,2
samalaadiline,A,12
samalaadne,A,2
samalaadsus,"S,S","11,9"
samamoodi,D,-
samane,A,10
samanimeline,A,12
samapalju,D,-
samariitlane,"S,S","12,10"
samariitlus,"S,S","11,9"
Samarkand,H,22
sama,P,17
samas,D,-
samaselt,D,-
samastama,V,27
samastamine,S,12
samastuma,V,27
samastus,S,11
samasugune,P,10
samasuguselt,D,-
samasus,S,11
samataoline,"P,P","12,10"
samataolisus,S,11
samatähenduslik,A,25
samatüübiline,A,12
samaviisi,D,-
samavõrd,D,-
samavõrra,D,-
samaväärne,A,2
samaväärselt,D,-
samaväärsus,"S,S","11,9"
samba,S,16
sambatama,V,27
sambia,G,-
Sambia,H,1
samblane,"A,A","12,10"
samblaroheline,A,12
samblateadlane,"S,S","12,10"
samblateadus,"S,S","11,9"
samblik,S,25
sambomaadlus,"S,S","11,9"
sambo,S,16
sametine,A,12
sametiselt,D,-
sametisus,S,11
sametjas,A,2
sametlill,S,22
sametpehme,A,1
sametpintsak,S,2
samet,S,2
samizdat,S,22
sammakala,S,17
sammaldama,V,27
sammalduma,V,27
sammalpehme,A,1
sammalroheline,A,12
sammal,S,8
sammaskäik,S,22
sammaspool,S,13
sammas,S,7
sammastik,S,25
Sammelselg,H,22
sammhaaval,D,-
samm-haaval,D,-
samm-sammult,D,-
samm,S,22
sammudes,D,-
sammukaupa,D,-
sammuke,S,12
sammulugeja,S,1
sammuma,V,28
sammumine,S,12
sammumõõtur,S,2
samoa,G,-
Samoa,H,26
samojedoloogia,S,1
samojedoloog,S,22
samovar,S,19
sampler,S,2
samplima,V,28
Sampo,H,16
sampus,"S,S","11,9"
samssking,S,22
samss,S,22
Samuel,H,19
samune,P,10
samurai,S,26
samuti,D,-
samuum,S,22
Sana,H,16
sanatoorium,"S,S","19,2"
sanatoorne,A,2
sandaal,S,22
sandalett,S,22
sandarmeeria,S,1
sandarm,S,2
Sander,H,2
sandhi,S,16
sandikepp,S,22
sandikopikas,S,2
sandikäru,S,17
sandim,C,2
sandistama,V,27
sandisti,D,-
sandistuma,V,27
sanditama,V,27
sandlipuit,S,22
sandlipuu,S,26
Sandra,H,1
sandvitš,S,22
saneerima,V,28
saneering,S,2
sangaritegu,S,18
sangarlikkus,"S,S","11,9"
sangarlik,A,25
sangarlus,S,11
sangar,S,2
sangas,D,-
Sangaste,H,1
Sangay,H,26
Sangla,H,1
sanglepp,S,22
sangpomm,S,22
sang,S,22
sangutama,V,27
sangviinik,S,2
sangviiniline,A,12
sangviin,S,22
sanitaaria,S,1
sanitaarinspektor,S,2
sanitaarne,A,2
sanitaarraamat,S,2
sanitaarremont,S,22
sanitar,S,19
San Jose,H,26
San José,H,26
San Juan,H,22
Sankt Peterburg,H,22
sanktsioneerima,V,28
sanktsioon,S,22
San Marino,H,16
San Salvador,H,19
Sansibar,H,19
sanskrit,S,22
Santa Cruz,H,22
Santa Fe,H,26
Santa,H,16
santehnika,S,1
santehnik,S,2
Santiago,H,16
santiim,S,22
santima,V,28
santimine,S,12
Santo Domingo,H,16
sant olema,V,36
sant,S,22
sants,S,22
santus,"S,S","11,9"
Sao Paulo,H,16
Sao Tome,H,16
São Tomé,H,26
sapakas,S,2
sapijuha,S,17
sapikarikas,S,2
sapikas,S,2
sapikivi,S,17
sapine,A,10
sapipõis,S,14
sapiselt,D,-
sapisevõitu,A,-
sapistama,V,27
sapistuma,V,27
sapp,S,22
saprofüütne,A,2
sapsama,V,29
sapsatama,V,27
sapsatus,S,11
sapsima,V,28
saps,S,22
sapsti,D,-
sapsuma,V,28
sapsutama,V,27
saputama,V,27
saputus,S,11
sapöör,S,22
saraatovlane,S,12
Saraatov,H,2
sarabanda,S,16
saraban,S,19
sarafan,S,19
Sarah,H,16
sarajevo,G,-
Sarajevo,H,1
Saransk,H,2
sarapik,S,25
Sarap,H,2
sarapuumets,S,22
sarapuupõõsas,S,7
sarapuupähkel,S,2
sarapuu,S,26
sarapuusalu,S,17
sara,S,17
saraskondlik,A,25
saras,S,9
saratseen,S,22
sardbetoon,S,22
sardell,S,22
sardiinia,G,-
Sardiinia,H,1
sardiinlane,"S,S","12,10"
sardiinlanna,S,16
sardiin,S,22
sardinell,S,22
sardklaas,S,22
sardooniline,A,12
sardooniliselt,D,-
sardsüsteem,S,22
sargasso,G,-
Sargasso,H,16
sarikas,S,2
sarikjas,A,2
sarikõisik,S,2
saripoegima,V,27
sari,S,24
sari,S,17
sarjama,V,29
sarjastama,V,27
sarkasm,S,22
sarkastiline,A,12
sarkastiliselt,D,-
sarkofaag,S,22
sarkolemm,S,22
sarkoom,S,22
sark,S,22
sarlakiline,A,12
sarlakpunane,S,10
sarlak,S,2
sarmaatlane,"S,S","12,10"
sarmaatlanna,S,16
sarmikas,A,2
sarmikus,S,11
sarm,S,22
sarnakas,A,2
sarnanema,V,27
sarnane olema,V,36
sarnane,A,10
sarnanev,A,2
sarnaselt,D,-
sarnassõna,S,17
sarnastama,V,27
sarnastuma,V,27
sarnastus,S,11
sarnasus,S,11
Sarnet,H,2
sarn,S,22
sarrus,S,9
sarž,S,22
sarvedega,A,-
sarvedeta,A,-
sarvekandja,S,1
sarvekas,A,2
sarvelajas,S,2
sarvemügar,S,2
sarvemüks,S,22
sarvenukk,S,22
sarvestuma,V,27
sarvetaoline,"A,A","12,10"
sarvikrai,S,26
sarvik,S,2
sarviktaat,S,22
sarviline,A,12
sarvist,D,-
sarvi tegema,V,28
sarvitu,A,1
sarvitus,S,11
sarvjas,A,2
sarvne,A,2
sarvpea,S,26
sarv,S,22
sarvuma,V,27
sasaan,S,22
sasikarvane,A,10
sasikera,S,17
sasima,V,27
sasimik,S,25
sasinema,V,27
sasine,A,10
sasin,S,2
sasipea,S,26
sasipundar,S,8
sasi,S,17
sasistama,V,27
sasitud,A,2
Saskatchewan,H,19
Saskatoon,H,22
sassi ajama,V,27
sassi,D,-
sassi minema,V,36
sassis,D,-
sassisjuukseline,A,12
sassiskarvaline,A,12
sassis olema,V,36
sassis-pussis,D,-
Sass,H,22
sassuma,V,27
satanism,S,22
satelliit,S,22
satelliitturniir,S,22
saterkuub,S,22
satiin,S,22
satiirikirjanik,S,25
satiirik,S,2
satiiriline,A,12
satiirinool,S,13
satiir,S,22
satikas,S,2
satisfaktsioon,S,22
satraapia,S,1
satraap,S,22
sats,S,22
satsuma,S,16
satter,S,2
satt,S,22
sattuma,"V,V","28,27"
sattumine,S,12
sattumisi,D,-
sattumus,S,11
sattunu,S,1
saturnaal,S,22
Saturn,H,22
satäänriie,S,6
satään,S,22
saudi-araabia,G,-
Saudi Araabia,H,1
saudi-araablane,"S,S","12,10"
saud,S,22
Saue,H,16
sauene,A,10
Sauga,H,16
sauh,I,-
sauhti,D,-
Saul,H,22
saunalava,S,17
saunalina,S,17
saunaline,S,12
saunamees,S,13
saunapuu,S,26
saunapäev,S,22
saunaskäija,S,1
saunatama,V,27
saund,S,22
saunik,S,2
saun,S,22
Saura,H,16
saurus,"S,S","11,9"
sau,S,22
sau,S,22
sauteerima,V,28
savann,S,22
savijalg,S,22
savijas,A,2
savikarjäär,S,22
savikas,A,2
savikauss,S,22
savimehike,S,12
savine,A,10
savipott,S,22
savi,S,17
savisete,S,6
savistuma,V,27
savitama,V,27
Scania,H,1
Schedule,H,2
Schengen,H,2
Schiller,H,2
Schleswig-Holstein,H,22
Schmidt,H,22
Scholastics,H,2
Schubert,H,2
Schumacher,H,2
Schwerin,H,22
Scotia,H,1
seadeldis,S,11
seade,S,6
seade,S,5
seadev,A,2
seadis,S,9
seadistama,V,27
seadistuma,V,27
seadistus,S,11
seadja,S,1
seadlus,"S,S","11,9"
seadma,V,34
seadmestama,V,27
seadmestik,S,25
seadmestus,S,11
seadmetega varustama,V,27
seadmine,S,12
seadsalt,D,-
seaduma,V,27
seadumus,S,11
seadusakt,S,22
seadusandja,S,1
seadusandlik,A,25
seadusandlikult,D,-
seadusandlus,"S,S","11,9"
seaduseelnõu,S,17
seadusejõud,S,22
seadusejõudu andma,V,34
seadusekäsi,S,15
seadusemees,S,13
seadusemuudatus,S,11
seaduseraamat,S,2
seaduserikkuja,S,1
seaduserikkumine,S,12
seadusesilm,S,22
seadusesäte,S,6
seaduseteener,S,2
seadusetu,A,1
seadusetus,S,11
seadusetäht,S,22
seadusevastane,A,10
seadusjõud,S,22
seadusjõudu andma,V,34
seadusjõusse astuma,V,28
seadusjärgne,A,2
seaduskuulekus,S,11
seaduslikkus,"S,S","11,9"
seaduslik,A,25
seaduslikuks muutma,V,34
seaduslikult,D,-
seaduslikustama,V,27
seadusloome,S,6
seaduspärane,A,10
seaduspära,S,17
seaduspäraselt,D,-
seaduspärasus,S,11
seadus,A,2
seadus,"S,S","11,9"
seadustama,V,27
seadustik,S,25
seadustus,S,11
seadusvastane,A,10
seadusvastaselt,D,-
seadusvastasus,S,11
seaduvus,S,11
seajalg,S,22
seakamar,S,2
seakari,S,24
seakarjane,S,10
seakarjus,S,9
seakartul,S,2
seakasvataja,S,1
seakasvatus,S,11
sealaut,S,22
seal,D,-
sealhulgas,D,-
sealiha,S,17
sealihatootja,S,1
sealilm,S,22
sealjuures,D,-
sealkandis,D,-
sealkohal,D,-
sealmaal,D,-
sealmail,D,-
sealne,A,2
sealpool,"D,K",-
sealpoolne,A,2
sealpoolsus,"S,S","11,9"
sealsamas,D,-
sealt,D,-
sealtkandi,D,-
sealtkandist,D,-
sealtkaudu,D,-
sealtmaalt,D,-
sealtpeale,D,-
sealtpoolne,A,2
sealtpoolt,"D,K",-
sealtsaadik,D,-
sealtsamast,D,-
seanahavedaja,S,1
seaninaader,S,24
seanina,S,17
seanss,S,22
seapoeg,S,22
seapohl,S,22
seapoiss,"S,S","23,22"
seapraad,S,22
seapõrsas,S,7
searibi,S,17
seas,K,-
seasongermaa,S,26
seast,K,-
seasõrg,S,22
seasõrgsõlm,S,22
seasörk,S,22
seasöögiämber,S,2
seategu,S,18
seatempe tegema,V,28
seatemp,S,22
seatina,S,17
seatraav,S,22
Seattle,H,2
seatud,A,2
seatõbi,S,21
seatükk,S,22
seaväät,S,22
seavööt,S,22
sebidus,S,11
sebima,V,27
sebimine,S,12
sebiv,A,2
sebralill,S,22
sebra,S,16
sedaaegu,D,-
sedaan,S,22
sedajagu,D,-
sedakaudu,D,-
sedakorda,D,-
sedalaadi,A,-
sedamaid,D,-
sedamoodi,D,-
sedamööda,D,-
sedap,D,-
sedapidi,D,-
sedapsi,D,-
sedapuhku,D,-
sedasi,D,-
sedasorti,A,-
sedastama,V,27
sedaviisi,D,-
sedavõrd,D,-
sedavärki,D,-
sedeldama,V,27
sedeldus,S,11
sedelgas,S,2
sedel,S,2
seeaeg,D,-
seebikas,S,2
seebimull,S,22
seebine,A,10
seebiseriaal,S,22
seebistama,V,27
seebistuma,V,27
seebisööja,S,1
seebitama,V,27
seebivesi,S,15
seebu,S,16
seedekulgla,S,1
seedemahl,S,22
seedenõre,S,16
seeder,S,2
seede,S,6
seedetrakt,S,22
seedimatu,A,1
seedimatus,"S,S","11,9"
seedima,V,27
seedimine,S,12
seeditav,A,2
seedumatu,A,1
seeduma,V,27
seeduv,A,2
see-eest,D,-
seega,D,-
seejuures,D,-
seejärel,D,-
seekans,S,2
seekel,S,2
seekord,D,-
seekordne,S,2
seek,S,22
seekõrval,D,-
seelik,S,2
seelikukandja,S,1
seelikukütt,S,22
seeläbi,D,-
seemendama,V,27
seemendi,S,1
seemenduma,V,27
seemendusjaam,S,22
seemendus,S,11
seeme,S,5
seemik,S,2
seemisnahk,S,22
seemla,S,1
seemnekujuline,A,12
seemnerakk,S,22
seemnetu,A,1
seemnetus,S,11
seemnevedelik,S,25
seemnevili,S,24
seemnis,"S,S","11,9"
seenekorjaja,S,1
seenekujuline,A,12
seenele,D,-
seeneline,S,12
seenelkäija,S,1
seenemikk,S,22
seenene,A,10
seenetama,V,27
seenetaoline,"A,A","12,10"
seeneteadlane,"S,S","12,10"
seeneteadus,"S,S","11,9"
seenetus,S,11
seenik,S,2
seenior,"S,S","19,2"
seenjas,A,2
seen,S,13
seentõbi,S,21
seep,D,-
seep,D,-
seepeale,D,-
seepia,S,1
seepjas,A,2
seepoolest,D,-
seep,S,22
seepärast,D,-
seerav,S,2
seerianumber,S,2
seeria,S,1
seerima,V,28
seerimine,S,12
seersant,S,22
seerum,S,2
seesam,S,2
sees,D,-
sees,K,-
sees keerama,V,29
seesmine,"A,A","12,10"
seesmiselt,D,-
seesmus,"S,S","11,9"
seesolija,S,1
seespidi,D,-
seespidine,A,10
seespool,"D,K",-
seespoolne,A,2
sees pöörama,V,29
seest,D,-
seest,K,-
seestpoolt,"D,K",-
seestuma,V,27
seestütlev,S,2
seesugune,P,10
seesütlev,S,2
seetõttu,D,-
seevastu,D,-
seevõrra,D,-
seeüle,D,-
sefiir,S,22
segadik,S,25
segadis,S,11
segadusse ajama,V,27
segadus,S,11
segadusse sattuma,"V,V","28,27"
segadusttekitav,A,2
segaja,S,1
segaklass,S,22
segamas,D,-
segamatu,A,1
segamatult,D,-
segamatus,"S,S","11,9"
segama,V,27
segamine,S,12
segamini,D,-
segamini keerama,V,29
segamini pöörama,V,29
segamismasin,S,2
segane,A,10
segapuder,S,24
segasalat,S,2
segaseks ajama,V,27
segaseks muutma,V,34
segaselt,D,-
segasemaks muutuma,V,27
segasem,C,2
segasevõitu,A,-
sega-soga,D,-
segastama,V,27
segastuma,V,27
segasus,S,11
segatis,S,11
segatud olema,V,36
segavalt,D,-
segaverd,D,-
segavereline,A,12
segav,A,2
segi ajama,V,27
segi,D,-
segidilja,S,16
segiläbi,D,-
segiolek,S,2
segipaisatud,A,2
segi paiskama,V,29
segisti,S,1
segmentaalne,A,2
segmentatsioon,S,22
segmenteerima,V,28
segmenteeruma,V,27
segmentima,V,28
segment,S,22
segregatsioon,S,22
segukamber,S,2
segunematu,A,1
segunematus,"S,S","11,9"
segunema,V,27
segunemine,S,12
segune,A,10
segu,S,17
segustama,V,27
segustus,S,11
sehkendama,V,27
sehkendamine,S,12
sehkendus,S,11
sehvtima,V,28
sehvtimees,S,13
sehvtitama,V,27
sehvti tegema,V,28
sehvt,S,22
seib,S,22
seier,S,2
seif,S,22
seikleja,S,1
seiklema,V,30
seiklusfilm,S,22
seikluslikkus,"S,S","11,9"
seikluslik,A,25
seiklusrikas,A,7
seiklusromaan,S,22
seiklussari,S,24
seiklus,"S,S","11,9"
seik,S,22
seilama,V,29
seilav,A,2
seim,S,22
seinakapp,S,22
seinakass,S,22
seinakell,S,22
seinalamp,S,22
seinamaaling,S,2
seinand,S,2
seinapaber,S,2
seinapeegel,S,2
seinapoolne,A,2
seinatühe,S,4
seinaveer,S,13
seiner,S,2
Seine,H,22
seinmine,"A,A","12,10"
sein,"S,S","23,22"
seirama,V,29
seire,S,6
seisak,S,2
seisang,S,2
seisatama,V,27
seisatuma,V,27
seisatus,S,11
seisev,A,2
seis,I,-
seisja,S,1
seiskama,V,29
seiskar,S,2
seiskuma,V,27
seisma jätma,V,35
seisma jääma,V,37
seismajäämine,"S,S","12,10"
seismapanek,S,2
seisma panema,V,36
seisma,V,32
seismiline,A,12
seismine,S,12
seismograaf,S,22
seismoloogia,S,1
seismoloogiline,A,12
seismoloog,S,22
seisnema,V,27
seis,S,22
seistes,D,-
seisukohalt,D,-
seisukohavõtt,S,22
seisukoht,S,22
seisukord,S,22
seisund,S,2
seisuslane,S,12
seisus,"S,S","11,9"
seisutama,V,27
seisutus,S,11
seisvalt,D,-
seisvus,"S,S","11,9"
Seišell,H,22
seitel,S,2
seitseaastak,S,2
seitsekümmend,N,5
seitsesada,N,18
seitse,N,5
seitseteist,N,5
seitsetuhat,N,2
seitsmeaastane,"A,A","12,10"
seitsmekesi,D,-
seitsmekordistama,V,27
seitsmekordistuma,V,27
seitsmekorruseline,A,12
seitsmekümne-aastane,"A,A","12,10"
seitsmekümnes,O,2
seitsmendaks,D,-
seitsmendik,S,25
seitsmene,"A,A","12,10"
seitsmepenikoormasaabas,S,7
seitsmepenikoormasaabastega,D,-
seitsmesajas,O,2
seitsmes,O,2
seitsmeteistkümneaastane,"A,A","12,10"
seitsmeteistkümnendik,N,25
seitsmeteistkümnes,O,2
seitsmevõistlus,"S,S","11,9"
seitsmik,S,25
seitung,S,22
sekeldama,V,27
sekeldamine,S,12
sekeldus,S,11
sekeldusterohke,A,1
sekka,D,-
sekka,K,-
sekka puistama,V,29
sekkar,S,2
sekk,S,22
sekkumatus,"S,S","11,9"
sekkuma,V,27
sekkumine,S,12
sekreet,S,22
sekretariaat,S,22
sekretoorne,A,2
sekretsioon,S,22
sekretär,S,19
seksapiilne,A,2
seksapiil,S,22
sekser,S,2
seksiafäär,S,22
seksikalt,D,-
seksikas,A,2
seksikus,S,11
seksima,V,28
seksism,S,22
seksistlik,A,25
sekskurjategija,S,1
seksohoolik,S,2
seks,S,22
sekstant,S,22
sekstett,S,22
sekstimine,S,12
sekst,S,22
seksuaalelu,S,17
seksuaalenergia,S,1
seksuaalne,A,2
seksuaalrevolutsioon,S,22
seksuaalroimar,S,2
seksuaalselt,D,-
seksuaalsuhe,S,6
seksuaalsus,"S,S","11,9"
seksuaaltung,S,22
seksuaalvahekord,S,22
seksuaalvähemus,S,11
seksuaalühe,S,6
seksualiseerima,V,28
seksuoloogia,S,1
seksuoloogiline,A,12
seksuoloog,S,22
sektantlik,A,25
sektantlus,"S,S","11,9"
sektant,S,22
sektiliider,S,2
sektor,S,2
sekt,S,22
sektsioonima,V,28
sektsioon,S,22
sekulaarne,A,2
sekularisatsioon,S,22
sekulariseerima,V,28
sekundaarne,A,2
sekundant,S,22
sekundeerima,V,28
sekundiks,D,-
sekundine,A,12
sekund,S,2
sekund,S,22
sekveneerimine,S,12
sekvents,S,22
sekvesteerima,V,28
sekvester,S,2
sekvoia,S,16
seldžukk,S,22
seleen,S,22
selekteerima,V,28
selektiivne,A,2
selektor,S,2
selektsionäär,S,22
selektsioon,S,22
selenoloogia,S,1
seletaja,S,1
seletamatu,A,1
seletamatus,"S,S","11,9"
seletama,V,27
seletamine,S,12
seletatav,A,2
seletatud,A,2
seletuma,V,27
seletus,S,11
seletust andma,V,34
selfi,S,16
selfitama,V,27
selga küürutama,V,27
selga murdma,V,34
selga panema,V,36
selgapanu,S,17
selga pöörama,V,29
selga sirutama,V,27
selge,A,1
selgeks saama,V,37
selgeks tegema,V,28
selgelt,D,-
selgelt nägema,V,28
selgeltnägemine,S,12
selgeltnägija,S,1
selgemalt,D,-
selgemini,D,-
selgem,C,2
selgendama,V,27
selgenema,V,27
selgepiiriline,A,12
selgepiiriliselt,D,-
selgepiirilisus,"S,S","11,9"
selgepilguline,A,12
selgepilguliselt,D,-
selgesti,D,-
selgesõnaline,A,12
selgesõnaliselt,D,-
selgida laskma,V,34
selgima,V,27
selgimine,S,12
selginema,V,27
selginemine,S,12
selgitaja,S,1
selgitama,V,27
selgitamine,S,12
selgitav,A,2
selgitus,S,11
selgitust andma,V,34
selgitustöö,S,26
selgmine,"A,A","12,10"
selgne,A,2
selgroogne,A,2
selgroog,S,22
selgroota,A,-
selgroots,S,22
selgrootu,S,1
selg,S,22
selguma,V,27
selgusele jõudma,V,34
selguseta,A,-
selgusetu,A,1
selgusetult,D,-
selgusetus,S,11
selgus,"S,S","11,9"
selgust saama,V,37
selgust tooma,V,38
selili,D,-
selili panema,V,36
seliliujumine,S,12
selitama,V,27
seliti,D,-
seliti,S,1
selitsi,D,-
selitusnõu,S,17
selitus,S,11
seljaaju,S,17
seljakil,D,-
seljakile,D,-
seljakott,S,22
seljak,S,2
seljakuti,D,-
seljali,D,-
seljaluu,S,26
seljandik,S,25
seljanka,S,16
seljasaun,S,22
seljas,D,-
seljas olema,V,36
seljataga,D,-
seljatagant,D,-
seljataga rääkima,V,28
seljataga seisma,V,32
seljatagune,A,10
seljataha,D,-
seljatama,V,27
seljati,D,-
seljatugi,S,21
seljatäis,S,14
seljatükk,S,22
seljavalu,S,17
Selkämeri,H,20
sellal,D,-
sellane,A,10
selleaastane,"A,A","12,10"
selleaegne,A,2
sellealane,A,10
selle-eest,D,-
sellegipoolest,D,-
sellegipärast,D,-
sellehulgas,D,-
sellejuurde,D,-
sellejuures,D,-
sellejuurest,D,-
sellejärel,D,-
sellejärele,D,-
sellejärelt,D,-
sellekevadene,A,12
sellekevadine,A,12
sellekohane,A,10
sellekujuline,A,12
sellekõrval,D,-
sellekõrvale,D,-
sellekõrvalt,D,-
sellelaadiline,A,12
sellelaadne,A,2
selleläbi,D,-
sellenimeline,A,12
sellepeale,D,-
sellepealt,D,-
sellepoolest,D,-
sellepärast,D,-
seller,S,2
sellesarnane,A,10
sellesuvine,A,10
sellesügisene,A,12
selletalvine,A,10
selletaoline,"P,P","12,10"
selletõttu,D,-
sellevastu,D,-
sellevõrra,D,-
selleüle,D,-
selline,P,10
selliselt,D,-
sell,S,22
selmet,J,-
selters,S,2
seltsi,D,-
seltsidaam,S,22
seltsi,K,-
seltsiline,S,12
seltsimaja,S,17
seltsima,V,28
seltsimatu,A,1
seltsimatus,"S,S","11,9"
seltsim,D,-
seltsimees,S,13
seltsimehelikkus,"S,S","11,9"
seltsimehelik,A,25
seltsing,S,2
seltsis,D,-
seltsis,K,-
seltsist,K,-
seltsitu,A,1
seltsiv,A,2
seltskondlik,A,25
seltskond,S,22
seltskonnainimene,S,12
seltskonnalõvi,S,17
seltskonnamäng,S,22
seltskonnatuus,S,22
seltslane,"S,S","12,10"
selts,S,22
selva,S,16
selvekauplus,"S,S","11,9"
selve,S,6
selvima,V,28
semafor,S,19
semantika,S,1
semantik,S,2
semantiline,A,12
semasioloogia,S,1
semasioloogiline,A,12
Semeru,H,1
semester,S,2
semgal,S,2
semi,G,-
semiit,S,22
semikoolon,S,2
seminarist,S,22
seminar,S,19
semiootika,S,1
semiootik,S,2
semiootiline,A,12
Semipalatinsk,H,2
semitism,S,22
semitoloogia,S,1
semitoloog,S,22
Semjonova,H,1
Semjonov,H,2
semlak,S,2
semmima,V,28
semstvo,S,1
semulikkus,S,11
semulik,A,25
semulikult,D,-
semu,S,17
semutsema,V,27
semutsev,A,2
senaator,S,2
senat,S,2
sendiline,S,12
sendine,S,10
sendipealt,D,-
Sénégal,H,19
Senegal,H,19
seniajani,D,-
seni,D,-
seniilne,A,2
seniilsus,"S,S","11,9"
seniit,S,22
senikaua,D,-
senikauaks,D,-
senikogematu,A,1
seniks,D,-
senikuulmatu,A,1
senimaani,D,-
senine,A,10
senini,D,-
seninägematu,A,1
seninähtamatu,A,1
senitundmatu,A,1
senjoora,S,16
senjoor,S,22
senjoriita,S,16
senjöör,S,22
senna,S,16
sensatsiooniline,A,12
sensatsioon,S,22
sensibilisaator,S,2
sensibiliseerima,V,28
sensiibel,A,2
sensiiblus,"S,S","11,9"
sensitiivne,A,2
sensitiiv,S,22
sensomotoorne,A,2
sensoorne,A,2
sensor,S,2
sensuaalne,A,2
sensuaalsus,"S,S","11,9"
sensualism,S,22
sentaavo,S,16
sentents,S,22
sentiliiter,S,2
sentiliitrine,"A,S","12,10"
